sample	bigwigPath	Group_label	strand
NA18499_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18499_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18502_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18502_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18505_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18505_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18508_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18508_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18510_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18510_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18511_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18511_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18519_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18519_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18520_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18520_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18858_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18858_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18867_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18867_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18868_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18868_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18870_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18870_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18909_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18909_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18910_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18910_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18917_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18917_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18923_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18923_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18934_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA18934_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19092_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19092_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19093_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19093_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19095_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19095_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19096_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19096_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19098_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19098_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19099_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19099_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19102_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19102_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19107_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19107_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19108_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19108_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19114_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19114_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19117_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19117_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19118_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19118_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19119_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19119_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19121_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19121_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19130_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19130_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19131_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19131_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19137_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19137_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19138_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19138_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19141_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19141_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19143_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19143_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19146_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19146_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19147_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19147_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19150_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19150_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19152_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19152_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19153_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19153_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19160_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19160_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19171_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19171_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
